id,followers,following,message_out,message_in,membership,level,region,gold,silver,bronze,hm
102,85,174,212,168,Free,"emerald cat",,0,0,0,0
103,211,184,314,913,silver,None,,0,0,0,0
104,33,62,32,20,Free,"emerald cat",None,0,0,0,0
105,13,14,76,76,Free,"perfect palomino",None,0,0,0,2
106,12,16,40,43,Free,"topaz horse",Florida,2,0,1,2
107,19,28,235,128,Free,"perfect palomino",None,1,2,0,1
108,353,934,233,1122,silver,"perfect palomino",,0,0,0,2
109,133,92,414,531,Free,"diamond love",,4,3,2,11
110,568,540,6096,4344,Free,"perfect palomino",None,3,5,3,9
111,11,17,27,25,Free,"emerald cat",None,0,0,0,0
112,245,49,1576,1690,Free,"malachite opening",Louisiana,25,19,20,31
113,128,80,916,833,Free,"onyx dragon",Michigan,2,4,3,11
114,23,29,60,102,silver,"topaz horse",None,0,0,0,0
115,142,347,347,372,Free,"diamond love",Florida,10,7,3,29
116,12,12,43,34,Free,"topaz horse",Colorado,0,0,0,0
117,20,40,46,21,Free,"topaz horse",,0,0,0,0
118,42,41,150,123,Free,"stunning sphinx",None,0,1,0,0
119,9,16,43,20,Free,None,None,0,0,0,0
120,56,64,322,262,silver,"perfect palomino",,2,8,2,10
121,35,39,96,231,Free,"topaz horse",Oregon,0,1,0,2
122,248,230,1204,1140,silver,"obsidian idea",None,15,21,37,124
123,9,14,40,33,Free,"stunning sphinx",None,0,0,0,0
124,109,172,450,396,Free,"supertopaz delight",None,5,4,1,24
125,190,135,642,827,silver,"topaz horse",Ohio,0,0,0,0
126,20,25,327,372,Free,None,West Virginia,7,6,8,17
127,100,85,449,400,Free,"diamond love",Texas,2,3,8,22
128,133,127,267,990,silver,None,None,44,36,40,107
129,48,105,272,139,silver,"perfect palomino",Indiana,1,0,2,3
130,7,7,53,55,Free,"topaz horse",,0,1,1,0
131,3,18,23,30,Free,"emerald cat",None,0,0,0,0
132,64,89,377,266,silver,"diamond love",,5,3,4,10
133,436,241,987,3583,gold,"moonstone path",,7,11,8,29
134,594,1447,1426,1400,Free,"hyperbolic pebble",Ohio,9,12,10,47
135,65,105,975,519,gold,None,Texas,0,0,0,0
136,315,268,1147,2636,Free,"perfect palomino",Massachusetts,40,34,34,103
137,19,20,72,93,Free,"stunning sphinx",,2,0,0,4
138,257,181,3320,2092,Free,"lapis-lazuli dream",New York,1,1,2,11
139,50,29,91,130,Free,"perfect palomino",None,0,0,1,2
140,62,32,267,340,Free,"topaz horse",New Hampshire,0,0,0,0
141,54,75,221,230,Free,"topaz horse",Texas,2,2,10,17
142,10,20,61,45,Free,"emerald cat",None,0,0,0,0
143,23,37,146,80,Free,"emerald cat",Utah,0,0,0,1
144,653,222,10579,9375,gold,None,,231,110,92,164
145,70,106,145,460,Free,"supertopaz delight",Indiana,1,0,0,4
146,928,752,12395,21483,gold,"freedom",Florida,323,391,400,1234
147,5,6,11,43,Free,"emerald cat",New York,0,0,0,0
148,99,100,134,291,Free,"aventurine thought",,6,5,0,2
149,1119,254,24214,22054,gold,None,California,289,243,197,524
150,48,67,328,282,Free,None,,0,0,0,0
151,25,55,617,1147,Free,"emerald cat",New York,0,1,0,0
152,89,140,130,237,Free,"perfect palomino",,0,0,3,8
153,8,14,34,40,Free,"stunning sphinx",,1,0,0,2
154,1472,616,32472,16392,Free,None,Louisiana,313,300,314,989
155,49,120,1860,1123,Free,None,None,1,4,1,3
156,65,72,219,203,Free,None,None,0,0,0,0
157,292,501,1270,1430,Free,"citrine experience",None,9,8,17,39
158,10,29,7,16,Free,"emerald cat",Texas,0,0,0,1
159,98,47,1675,1744,gold,"pyrite eye",Illinois,14,23,21,54
160,306,38,2255,3239,Free,"stunning sphinx",,0,0,0,0
161,601,717,11005,7165,gold,"unkept fire",Oklahoma,54,63,66,224
162,225,146,727,1301,silver,None,,2,4,6,9
163,670,650,6117,8065,silver,"leap-frog",Oregon,37,29,25,101
164,94,96,682,620,Free,"malachite opening",California,2,2,5,25
165,917,229,16200,17916,gold,"zen master",,0,0,0,0
166,381,149,2021,2101,gold,"screaming dragon",Arizona,28,30,27,78
167,40,88,372,209,Free,"topaz horse",None,0,0,0,0
168,165,191,1442,667,Free,"hyperbolic pebble",None,8,16,20,44
169,10,32,304,14,Free,"emerald cat",None,0,0,0,0
170,100,57,457,678,Free,"jade dragon",,3,4,5,16
171,8,27,49,28,Free,"topaz horse",Utah,0,0,0,0
172,19,25,79,54,Free,"topaz horse",None,0,0,0,0
173,118,233,1471,990,Free,"jade dragon",,3,1,3,11
